
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd
 1.08900e+00       3.83822e-04       1.21144e-04       3.49887e-15       3.69003e-06       5.77359e-01       4.53993e-01      
 1.09800e+00       3.87414e-04       1.24615e-04       3.50162e-15       3.77030e-06       5.77359e-01       4.60075e-01      
 1.10700e+00       3.90919e-04       1.28117e-04       3.50430e-15       3.85111e-06       5.77359e-01       4.66134e-01      
 1.11600e+00       3.94338e-04       1.31651e-04       3.50694e-15       3.93246e-06       5.77359e-01       4.72171e-01      
 1.12500e+00       3.97673e-04       1.35215e-04       3.50951e-15       4.01436e-06       5.77359e-01       4.78188e-01      
 1.13400e+00       4.00924e-04       1.38808e-04       3.51204e-15       4.09679e-06       5.77359e-01       4.84183e-01      
 1.14300e+00       4.04093e-04       1.42431e-04       3.51453e-15       4.17977e-06       5.77359e-01       4.90158e-01      
 1.15200e+00       4.07181e-04       1.46081e-04       3.51697e-15       4.26330e-06       5.77359e-01       4.96113e-01      
 1.16100e+00       4.10189e-04       1.49760e-04       3.51937e-15       4.34737e-06       5.77359e-01       5.02048e-01      
 1.17000e+00       4.13118e-04       1.53464e-04       3.52173e-15       4.43199e-06       5.77359e-01       5.07963e-01      
 1.17900e+00       4.15969e-04       1.57195e-04       3.52405e-15       4.51717e-06       5.77359e-01       5.13860e-01      
 1.18800e+00       4.18744e-04       1.60951e-04       3.52634e-15       4.60290e-06       5.77359e-01       5.19738e-01      
 1.19700e+00       4.21443e-04       1.64732e-04       3.52859e-15       4.68919e-06       5.77359e-01       5.25598e-01      
 1.20600e+00       4.24068e-04       1.68537e-04       3.53081e-15       4.77605e-06       5.77359e-01       5.31440e-01      
 1.21500e+00       4.26619e-04       1.72365e-04       3.53301e-15       4.86347e-06       5.77359e-01       5.37265e-01      
 1.22400e+00       4.29097e-04       1.76215e-04       3.53518e-15       4.95146e-06       5.77359e-01       5.43073e-01      
 1.23300e+00       4.31504e-04       1.80088e-04       3.53732e-15       5.04003e-06       5.77359e-01       5.48865e-01      
 1.24200e+00       4.33841e-04       1.83982e-04       3.53944e-15       5.12918e-06       5.77359e-01       5.54641e-01      
 1.25100e+00       4.36108e-04       1.87897e-04       3.54153e-15       5.21891e-06       5.77359e-01       5.60401e-01      
 1.26000e+00       4.38307e-04       1.91831e-04       3.54360e-15       5.30924e-06       5.77359e-01       5.66146e-01      
 1.26900e+00       4.40438e-04       1.95786e-04       3.54565e-15       5.40016e-06       5.77359e-01       5.71876e-01      
 1.27800e+00       4.42502e-04       1.99759e-04       3.54769e-15       5.49169e-06       5.77359e-01       5.77592e-01      
 1.28700e+00       4.44501e-04       2.03750e-04       3.54970e-15       5.58382e-06       5.77359e-01       5.83293e-01      
 1.29600e+00       4.46435e-04       2.07759e-04       3.55170e-15       5.67657e-06       5.77359e-01       5.88982e-01      
